HHID,Home,Urb,Comp,Child,Day,SEC,NumCars,Age,Driver,Gender,Wstat,pAge,pDriver,pGender,pWstat
9736,5684,2,3,1,0,3,2,1,true,1,2,0,true,0,2
9883,5684,2,3,1,0,3,2,1,true,1,2,1,true,0,2
9886,5683,2,3,1,0,3,2,1,true,1,2,1,true,0,2
9887,5684,2,3,1,0,3,2,1,true,1,2,1,true,0,2
9888,5684,2,3,1,0,3,2,1,true,1,2,1,true,0,2
9734,5684,2,3,1,0,3,2,1,true,1,2,0,true,0,2
10026,5683,2,3,0,0,3,2,2,true,1,2,1,true,0,2
10042,5683,2,3,0,0,3,2,1,true,1,2,2,true,0,2
10016,5683,2,3,0,0,3,2,2,true,1,2,1,true,0,2
10119,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10118,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10125,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10122,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10124,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10129,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10133,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10135,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10138,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10145,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10148,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10153,5683,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10161,5683,2,3,0,0,3,2,3,true,1,2,2,true,0,2
10152,5684,2,3,0,0,3,2,2,true,1,2,2,true,0,2
10160,5683,2,3,0,0,3,2,3,true,1,2,2,true,0,2
10162,5683,2,3,0,0,3,2,3,true,1,2,2,true,0,2
11039,5682,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
11038,5682,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
11040,5682,2,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
11160,5681,2,2,0,0,3,2,2,true,1,2,2,true,0,0
11341,5682,2,3,1,0,3,2,1,true,1,2,0,true,0,1
11480,5682,2,2,0,0,3,2,2,true,1,0,2,true,0,2
11439,5681,2,3,0,0,3,2,2,true,1,2,2,true,0,1
11479,5682,2,2,0,0,3,2,2,true,1,0,2,true,0,2
11825,5682,2,3,1,0,3,2,1,true,1,2,0,true,0,2
11849,5682,2,3,1,0,3,2,1,true,1,2,1,true,0,2
11872,5682,2,3,0,0,3,2,2,true,1,2,1,true,0,2
11896,5682,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11898,5682,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11897,5681,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11901,5681,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11902,5682,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11903,5682,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11906,5681,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11905,5681,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11910,5681,2,3,0,0,3,2,3,true,1,2,2,true,0,2
11907,5682,2,3,0,0,3,2,2,true,1,2,2,true,0,2
11904,5682,2,3,0,0,3,2,2,true,1,2,2,true,0,2
15578,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15576,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15577,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15579,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15580,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15581,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15583,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15582,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15585,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15584,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15586,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15587,5721,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
15588,5725,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
16181,5721,3,2,0,0,3,2,2,true,1,2,2,true,0,0
16184,5721,3,2,0,0,3,2,2,true,1,2,2,true,0,0
16177,5721,3,2,0,0,3,2,2,true,1,2,2,true,0,0
16188,5725,3,2,0,0,3,2,2,true,1,2,2,true,0,0
16825,5721,3,3,1,0,3,2,1,true,1,2,0,true,0,1
16891,5721,3,3,1,0,3,2,1,true,1,2,1,true,0,1
16892,5721,3,3,1,0,3,2,1,true,1,2,1,true,0,1
16894,5721,3,3,1,0,3,2,1,true,1,2,1,true,0,1
16975,5721,3,3,0,0,3,2,2,true,1,2,1,true,0,1
17091,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17089,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17081,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17099,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17097,5724,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17094,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17100,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17109,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17102,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17113,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17114,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,1
17284,5721,3,2,0,0,3,2,2,true,1,0,2,true,0,2
17326,5721,3,2,0,0,3,2,3,true,1,0,2,true,0,2
17330,5721,3,2,0,0,3,2,3,true,1,0,2,true,0,2
17288,5721,3,2,0,0,3,2,2,true,1,0,2,true,0,2
17333,5721,3,2,0,0,3,2,3,true,1,0,2,true,0,2
18528,5721,3,3,1,0,3,2,1,true,1,2,0,true,0,2
17337,5724,3,2,0,0,3,2,3,true,1,0,2,true,0,2
18609,5721,3,3,1,0,3,2,1,true,1,2,1,true,0,2
18607,5721,3,3,1,0,3,2,1,true,1,2,1,true,0,2
18610,5721,3,3,1,0,3,2,1,true,1,2,1,true,0,2
18611,5721,3,3,1,0,3,2,1,true,1,2,1,true,0,2
18684,5721,3,3,0,0,3,2,2,true,1,2,1,true,0,2
18535,5721,3,3,1,0,3,2,1,true,1,2,0,true,0,2
18683,5721,3,3,0,0,3,2,2,true,1,2,1,true,0,2
18685,5725,3,3,0,0,3,2,2,true,1,2,1,true,0,2
18686,5721,3,3,0,0,3,2,2,true,1,2,1,true,0,2
18697,5721,3,3,0,0,3,2,1,true,1,2,2,true,0,2
18764,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18765,5725,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18768,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18767,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18774,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18773,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18775,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18778,5725,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18776,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18781,5724,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18780,5725,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18783,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18790,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18788,5725,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18792,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18794,5724,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18791,5725,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18799,5721,3,3,0,0,3,2,2,true,1,2,2,true,0,2
18809,5721,3,3,0,0,3,2,3,true,1,2,2,true,0,2
21136,5753,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21137,5753,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21138,5753,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21140,5753,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21142,5753,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21139,5753,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21143,5759,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21144,5758,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21145,5753,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21146,5758,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21141,5757,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21553,5757,3,2,0,0,3,2,2,true,1,2,2,true,0,0
21486,5758,3,2,1,0,3,2,1,true,1,2,1,true,0,0
21147,5757,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
21557,5753,3,2,0,0,3,2,2,true,1,2,2,true,0,0
21563,5753,3,2,0,0,3,2,2,true,1,2,2,true,0,0
21565,5756,3,2,0,0,3,2,2,true,1,2,2,true,0,0
21561,5753,3,2,0,0,3,2,2,true,1,2,2,true,0,0
21581,5757,3,2,0,0,3,2,2,true,1,2,3,true,0,0
21580,5757,3,2,0,0,3,2,2,true,1,2,3,true,0,0
22043,5757,3,3,1,0,3,2,1,true,1,2,1,true,0,1
22173,5753,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22092,5753,3,3,0,0,3,2,2,true,1,2,1,true,0,1
22181,5753,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22183,5757,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22176,5758,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22192,5758,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22189,5753,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22195,5757,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22185,5753,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22196,5758,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22198,5753,3,3,0,0,3,2,2,true,1,2,2,true,0,1
22301,5757,3,2,0,0,3,2,2,true,1,0,2,true,0,2
22304,5758,3,2,0,0,3,2,2,true,1,0,2,true,0,2
22302,5757,3,2,0,0,3,2,2,true,1,0,2,true,0,2
22330,5753,3,2,0,0,3,2,3,true,1,0,2,true,0,2
22334,5757,3,2,0,0,3,2,3,true,1,0,2,true,0,2
22333,5753,3,2,0,0,3,2,3,true,1,0,2,true,0,2
23167,5758,3,3,1,0,3,2,1,true,1,2,0,true,0,2
23217,5757,3,3,1,0,3,2,1,true,1,2,1,true,0,2
23268,5753,3,3,0,0,3,2,2,true,1,2,1,true,0,2
23266,5757,3,3,0,0,3,2,2,true,1,2,1,true,0,2
23331,5756,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23332,5758,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23333,5757,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23326,5753,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23328,5759,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23335,5757,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23340,5758,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23338,5753,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23334,5758,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23345,5753,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23343,5758,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23350,5759,3,3,0,0,3,2,2,true,1,2,2,true,0,2
23356,5757,3,3,0,0,3,2,3,true,1,2,2,true,0,2
23346,5756,3,3,0,0,3,2,2,true,1,2,2,true,0,2
27849,5754,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27852,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27850,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27851,5752,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27853,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27855,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27857,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27856,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27854,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27859,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27860,5754,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27858,5754,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27861,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27862,5751,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
27863,5752,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
28577,5751,3,2,0,0,3,2,2,true,1,2,1,true,0,0
28659,5751,3,2,0,0,3,2,2,true,1,2,2,true,0,0
28665,5751,3,2,0,0,3,2,2,true,1,2,2,true,0,0
28667,5751,3,2,0,0,3,2,2,true,1,2,2,true,0,0
28672,5751,3,2,0,0,3,2,2,true,1,2,2,true,0,0
28578,5751,3,2,0,0,3,2,2,true,1,2,1,true,0,0
28707,5751,3,2,0,0,3,2,2,true,1,2,3,true,0,0
28676,5751,3,2,0,0,3,2,2,true,1,2,2,true,0,0
29810,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29818,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29816,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29822,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29806,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29819,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29833,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29836,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29842,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
29840,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,1
30058,5751,3,2,0,0,3,2,2,true,1,0,2,true,0,2
30061,5751,3,2,0,0,3,2,2,true,1,0,2,true,0,2
30065,5754,3,2,0,0,3,2,2,true,1,0,2,true,0,2
30124,5754,3,2,0,0,3,2,3,true,1,0,2,true,0,2
30125,5751,3,2,0,0,3,2,3,true,1,0,2,true,0,2
30067,5751,3,2,0,0,3,2,2,true,1,0,2,true,0,2
30126,5751,3,2,0,0,3,2,3,true,1,0,2,true,0,2
31624,5751,3,3,1,0,3,2,1,true,1,2,0,true,0,2
31721,5751,3,3,1,0,3,2,1,true,1,2,1,true,0,2
31722,5752,3,3,1,0,3,2,1,true,1,2,1,true,0,2
31718,5751,3,3,1,0,3,2,1,true,1,2,1,true,0,2
31723,5751,3,3,1,0,3,2,1,true,1,2,1,true,0,2
31818,5751,3,3,0,0,3,2,2,true,1,2,1,true,0,2
31836,5751,3,3,0,0,3,2,1,true,1,2,2,true,0,2
31717,5751,3,3,1,0,3,2,1,true,1,2,1,true,0,2
31929,5754,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31839,5754,3,3,0,0,3,2,1,true,1,2,2,true,0,2
31930,5752,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31927,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31933,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31932,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31935,5752,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31937,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31938,5754,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31936,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31940,5754,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31942,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31939,5752,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31944,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31946,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31949,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31950,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31945,5754,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31952,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31955,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31951,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31957,5754,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31960,5754,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31961,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31965,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31962,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31967,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31970,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31963,5754,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31975,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
31989,5751,3,3,0,0,3,2,3,true,1,2,2,true,0,2
31988,5754,3,3,0,0,3,2,3,true,1,2,2,true,0,2
31971,5751,3,3,0,0,3,2,2,true,1,2,2,true,0,2
34862,5525,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
34865,5521,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
34863,5521,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
34864,5521,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
34866,5525,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
34868,5521,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
34867,5525,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
34870,5521,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
34869,5521,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
35303,5521,3,2,0,0,3,2,2,true,1,2,1,true,0,0
35361,5521,3,2,0,0,3,2,2,true,1,2,2,true,0,0
35364,5521,3,2,0,0,3,2,2,true,1,2,2,true,0,0
35373,5521,3,2,0,0,3,2,2,true,1,2,2,true,0,0
35394,5521,3,2,0,0,3,2,2,true,1,2,3,true,0,0
35393,5521,3,2,0,0,3,2,2,true,1,2,3,true,0,0
35867,5521,3,3,1,0,3,2,1,true,1,2,0,true,0,1
36082,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
35920,5521,3,3,1,0,3,2,1,true,1,2,1,true,0,1
35921,5525,3,3,1,0,3,2,1,true,1,2,1,true,0,1
36084,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36091,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36092,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36093,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36096,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36098,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36090,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36109,5524,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36094,5525,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36112,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36107,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36114,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36117,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,1
36256,5521,3,2,0,0,3,2,2,true,1,0,2,true,0,2
36253,5521,3,2,0,0,3,2,2,true,1,0,2,true,0,2
36289,5521,3,2,0,0,3,2,3,true,1,0,2,true,0,2
37216,5525,3,3,1,0,3,2,1,true,1,2,0,true,0,2
37283,5521,3,3,1,0,3,2,1,true,1,2,1,true,0,2
37220,5525,3,3,1,0,3,2,1,true,1,2,0,true,0,2
37344,5524,3,3,0,0,3,2,2,true,1,2,1,true,0,2
37347,5521,3,3,0,0,3,2,2,true,1,2,1,true,0,2
37284,5521,3,3,1,0,3,2,1,true,1,2,1,true,0,2
37348,5524,3,3,0,0,3,2,2,true,1,2,1,true,0,2
37355,5525,3,3,0,0,3,2,1,true,1,2,2,true,0,2
37415,5524,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37414,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37223,5521,3,3,1,0,3,2,1,true,1,2,0,true,0,2
37417,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37418,5524,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37419,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37423,5525,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37427,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37421,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37430,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37428,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37432,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37433,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37440,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37444,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37446,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37443,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37448,5521,3,3,0,0,3,2,2,true,1,2,2,true,0,2
37456,5521,3,3,0,0,3,2,3,true,1,2,2,true,0,2
38520,5513,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
38519,5513,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
38522,5512,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
38523,5513,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
38524,5512,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
38521,5511,3,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
38723,5513,3,2,0,0,3,2,2,true,1,2,2,true,0,0
38722,5511,3,2,0,0,3,2,2,true,1,2,2,true,0,0
39021,5512,3,3,0,0,3,2,2,true,1,2,2,true,0,1
39023,5512,3,3,0,0,3,2,2,true,1,2,2,true,0,1
39026,5512,3,3,0,0,3,2,2,true,1,2,2,true,0,1
39030,5513,3,3,0,0,3,2,2,true,1,2,2,true,0,1
39096,5513,3,2,0,0,3,2,3,true,1,0,2,true,0,2
39033,5512,3,3,0,0,3,2,2,true,1,2,2,true,0,1
39084,5512,3,2,0,0,3,2,2,true,1,0,2,true,0,2
39501,5512,3,3,1,0,3,2,1,true,1,2,1,true,0,2
39552,5513,3,3,0,0,3,2,2,true,1,2,2,true,0,2
39556,5513,3,3,0,0,3,2,2,true,1,2,2,true,0,2
39559,5513,3,3,0,0,3,2,2,true,1,2,2,true,0,2
39560,5512,3,3,0,0,3,2,2,true,1,2,2,true,0,2
39555,5513,3,3,0,0,3,2,2,true,1,2,2,true,0,2
39562,5512,3,3,0,0,3,2,2,true,1,2,2,true,0,2
39564,5513,3,3,0,0,3,2,2,true,1,2,2,true,0,2
39567,5513,3,3,0,0,3,2,3,true,1,2,2,true,0,2
43357,5629,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43358,5629,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43355,5629,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43360,5629,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43361,5628,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43356,5629,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43359,5628,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43362,5629,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43363,5628,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43364,5629,0,1,0,0,3,2,1,true,1,2,NA,NA,NA,NA
43374,5628,0,1,1,0,3,2,1,true,1,2,NA,NA,NA,NA
43372,5629,0,1,1,0,3,2,1,true,1,2,NA,NA,NA,NA
43464,5628,0,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
43466,5628,0,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
43465,5628,0,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
43467,5628,0,1,0,0,3,2,2,true,1,2,NA,NA,NA,NA
43373,5629,0,1,1,0,3,2,1,true,1,2,NA,NA,NA,NA
