HHID,Home,MemID,EpisodeID,OrigLoc,DestLoc,LeaveTime,TravelTime,BeginTime,EndTime,ActivityType,Mode,With,Charging
6269,5684,1,2,5684,5343,17:18+0,32,17:50+0,19:38+0,Social,Car,Missing,NoCharging
6269,5684,1,3,5343,5684,19:38+0,32,20:10+0,03:00+1,Home,Car,Missing,NoCharging
7241,5684,0,0,5684,5684,03:00+0,0,03:00+0,06:45+0,Home,Missing,Missing,NoCharging
7241,5684,0,1,5684,5684,06:45+0,9,06:54+0,16:52+0,Work,Car,Missing,NoCharging
7241,5684,0,2,5684,5684,16:52+0,5,16:57+0,03:00+1,Home,Car,Missing,PrivateCharging
7241,5684,1,0,5684,5684,03:00+0,0,03:00+0,03:00+1,Home,Missing,Missing,PrivateCharging
7242,5683,0,0,5683,5683,03:00+0,0,03:00+0,03:00+1,Home,Missing,Missing,NoCharging
7242,5683,1,0,5683,5683,03:00+0,0,03:00+0,07:09+0,Home,Missing,Missing,PrivateCharging
7242,5683,1,1,5683,3981,07:09+0,52,08:01+0,11:29+0,Work,Car,Missing,NoCharging
7242,5683,1,2,3981,5683,11:29+0,52,12:21+0,14:36+0,Home,Car,Missing,NoCharging
7242,5683,1,3,5683,5684,14:37+0,3,14:40+0,14:53+0,Other,Walking or Biking,Missing,NoCharging
7242,5683,1,4,5684,5683,14:53+0,3,14:56+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7235,5684,0,0,5684,5684,03:00+0,0,03:00+0,08:45+0,Home,Missing,Missing,PrivateCharging
7235,5684,0,1,5684,5681,08:45+0,15,09:00+0,11:49+0,Work,Walking or Biking,Missing,NoCharging
7235,5684,0,2,5681,5684,11:49+0,15,12:04+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7235,5684,1,0,5684,5684,03:00+0,0,03:00+0,11:31+0,Home,Missing,Missing,NoCharging
7235,5684,1,1,5684,5751,11:31+0,36,12:07+0,12:14+0,Services,Car,Missing,NoCharging
7235,5684,1,2,5751,5684,12:14+0,36,12:50+0,13:22+0,Home,Car,Missing,NoCharging
7235,5684,1,3,5684,5627,13:44+0,10,13:54+0,14:31+0,Leisure,Car,Missing,NoCharging
7235,5684,1,4,5627,5684,14:31+0,10,14:41+0,03:00+1,Home,Car,Missing,PrivateCharging
7360,5684,0,0,5684,5684,03:00+0,0,03:00+0,07:34+0,Home,Missing,Missing,PrivateCharging
7360,5684,0,1,5684,5684,07:34+0,22,07:56+0,17:02+0,Work,Walking or Biking,Missing,NoCharging
7360,5684,0,2,5684,5684,17:02+0,29,17:31+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7360,5684,1,0,5684,5684,03:00+0,0,03:00+0,08:36+0,Home,Missing,Missing,NoCharging
7360,5684,1,1,5684,5684,08:36+0,6,08:42+0,09:00+0,Work,Car,Missing,SemiPublicCharging
7360,5684,1,2,5684,5684,09:00+0,6,09:06+0,03:00+1,Home,Car,Missing,PrivateCharging
7243,5684,0,0,5684,5684,03:00+0,0,03:00+0,06:25+0,Home,Missing,Missing,NoCharging
7243,5684,0,1,5684,5081,06:25+0,23,06:48+0,15:48+0,Work,Car,Missing,PublicCharging
7243,5684,0,2,5081,5684,15:48+0,23,16:11+0,03:00+1,Home,Car,Missing,NoCharging
7243,5684,1,0,5684,5684,03:00+0,0,03:00+0,07:17+0,Home,Missing,Missing,NoCharging
7243,5684,1,1,5684,5503,07:17+0,14,07:31+0,07:37+0,BringGet,Car as Passenger,Missing,PublicCharging
7243,5684,1,2,5503,5684,07:37+0,14,07:51+0,11:33+0,Home,Car as Passenger,Missing,PrivateCharging
7243,5684,1,3,5684,5912,11:34+0,46,12:20+0,12:36+0,Groceries,Car as Passenger,Missing,NoCharging
7243,5684,1,4,5912,5684,12:36+0,46,13:22+0,13:27+0,Home,Car as Passenger,Missing,PrivateCharging
7243,5684,1,5,5684,5684,14:46+0,9,14:55+0,15:15+0,Groceries,Car,Missing,SemiPublicCharging
7243,5684,1,6,5684,5684,15:23+0,6,15:29+0,16:07+0,Groceries,Car,Missing,NoCharging
7243,5684,1,7,5684,5683,16:07+0,1,16:08+0,16:13+0,BringGet,Car,Missing,SemiPublicCharging
7243,5684,1,8,5683,5684,16:13+0,1,16:14+0,03:00+1,Home,Car,Missing,NoCharging
7368,5684,0,0,5684,5684,03:00+0,0,03:00+0,06:50+0,Home,Missing,Missing,PrivateCharging
7368,5684,0,1,5684,5701,06:50+0,27,07:17+0,17:07+0,Work,Car,Missing,PublicCharging
7368,5684,0,2,5701,5684,17:07+0,27,17:34+0,03:00+1,Home,Car,Missing,PrivateCharging
7368,5684,1,0,5684,5684,03:00+0,0,03:00+0,08:01+0,Home,Missing,Missing,NoCharging
7368,5684,1,1,5684,5683,08:01+0,3,08:04+0,14:18+0,Work,Walking or Biking,Missing,NoCharging
7368,5684,1,2,5683,5684,14:18+0,3,14:21+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7636,5683,0,0,5683,5683,03:00+0,0,03:00+0,08:03+0,Home,Missing,Missing,NoCharging
7636,5683,0,1,5683,5683,08:03+0,6,08:09+0,13:28+0,Work,Car,Missing,NoCharging
7636,5683,0,2,5683,5683,13:28+0,6,13:34+0,03:00+1,Home,Car,Missing,PrivateCharging
7636,5683,1,0,5683,5683,03:00+0,0,03:00+0,03:00+1,Home,Missing,Missing,NoCharging
7635,5684,0,0,5684,5684,03:00+0,0,03:00+0,07:53+0,Home,Missing,Missing,NoCharging
7635,5684,0,1,5684,5507,07:53+0,15,08:08+0,16:38+0,Work,Car,Missing,NoCharging
7635,5684,0,2,5507,5507,16:47+0,6,16:53+0,18:31+0,Business,Car,Missing,SemiPublicCharging
7635,5684,0,3,5507,5684,18:31+0,15,18:46+0,03:00+1,Home,Car,Missing,NoCharging
7635,5684,1,0,5684,5684,03:00+0,0,03:00+0,17:30+0,Home,Missing,Missing,PrivateCharging
7635,5684,1,1,5684,5682,17:30+0,4,17:34+0,19:27+0,Leisure,Car,Missing,NoCharging
7635,5684,1,2,5682,5684,19:27+0,4,19:31+0,03:00+1,Home,Car,Missing,NoCharging
7638,5683,0,0,5683,5683,03:00+0,0,03:00+0,16:08+0,Home,Missing,Missing,NoCharging
7638,5683,0,1,5683,5683,16:08+0,21,16:29+0,16:50+0,Services,Walking or Biking,Missing,NoCharging
7638,5683,0,2,5683,5683,16:50+0,27,17:17+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7638,5683,1,0,5683,5683,03:00+0,0,03:00+0,09:26+0,Home,Missing,Missing,PrivateCharging
7638,5683,1,1,5683,5683,09:26+0,9,09:35+0,12:35+0,Work,Walking or Biking,Missing,NoCharging
7638,5683,1,2,5683,5683,12:35+0,17,12:52+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7666,5683,0,0,5683,5683,03:00+0,0,03:00+0,15:14+0,Home,Missing,Missing,PrivateCharging
7666,5683,0,1,5683,5683,15:14+0,16,15:30+0,18:55+0,Leisure,Walking or Biking,Missing,NoCharging
7666,5683,0,2,5683,5683,18:55+0,29,19:24+0,19:29+0,Leisure,Walking or Biking,Missing,NoCharging
7666,5683,0,3,5683,5683,19:29+0,23,19:52+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7666,5683,1,0,5683,5683,03:00+0,0,03:00+0,18:05+0,Home,Missing,Missing,NoCharging
7666,5683,1,1,5683,5682,18:05+0,3,18:08+0,18:47+0,Business,Car as Passenger,Missing,PublicCharging
7666,5683,1,2,5682,5683,18:47+0,3,18:50+0,03:00+1,Home,Car as Passenger,Missing,PrivateCharging
7657,5684,0,0,5684,5684,03:00+0,0,03:00+0,08:16+0,Home,Missing,Missing,NoCharging
7657,5684,0,1,5684,5684,08:16+0,10,08:26+0,16:19+0,Work,Walking or Biking,Missing,NoCharging
7657,5684,0,2,5684,5684,16:19+0,17,16:36+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7657,5684,1,0,5684,5684,03:00+0,0,03:00+0,17:41+0,Home,Missing,Missing,PrivateCharging
7657,5684,1,1,5684,5684,17:41+0,14,17:55+0,02:52+1,Touring,Walking or Biking,Missing,NoCharging
7657,5684,1,2,5684,5684,02:52+1,8,03:00+1,03:00+1,Home,Walking or Biking,Missing,NoCharging
7646,5684,0,0,5684,5684,03:00+0,0,03:00+0,06:46+0,Home,Missing,Missing,PrivateCharging
7646,5684,0,1,5684,4701,06:46+0,99,08:25+0,09:47+0,Work,Public Transport,Missing,NoCharging
7646,5684,0,2,4701,5684,09:47+0,99,11:26+0,03:00+1,Home,Public Transport,Missing,NoCharging
7646,5684,1,0,5684,5684,03:00+0,0,03:00+0,08:03+0,Home,Missing,Missing,NoCharging
7646,5684,1,1,5684,5682,08:03+0,11,08:14+0,09:03+0,Social,Walking or Biking,Missing,NoCharging
7646,5684,1,2,5682,5681,09:03+0,10,09:13+0,09:28+0,Social,Walking or Biking,Missing,NoCharging
7646,5684,1,3,5681,5683,09:28+0,11,09:39+0,11:27+0,Work,Walking or Biking,Missing,NoCharging
7646,5684,1,4,5683,5684,11:27+0,3,11:30+0,13:12+0,Home,Walking or Biking,Missing,NoCharging
7646,5684,1,5,5684,5683,13:12+0,1,13:13+0,14:53+0,Work,Car,Missing,PublicCharging
7646,5684,1,6,5683,5684,14:53+0,1,14:54+0,03:00+1,Home,Car,Missing,NoCharging
7667,5684,0,0,5684,5684,03:00+0,0,03:00+0,07:41+0,Home,Missing,Missing,NoCharging
7667,5684,0,1,5684,5684,07:41+0,10,07:51+0,12:01+0,Work,Walking or Biking,Missing,NoCharging
7667,5684,0,2,5684,5684,12:01+0,8,12:09+0,15:58+0,Home,Walking or Biking,Missing,NoCharging
7667,5684,0,3,5684,5684,15:58+0,8,16:06+0,16:08+0,Services,Car,Missing,NoCharging
7667,5684,0,4,5684,5684,16:34+0,9,16:43+0,20:54+0,Social,Car,Missing,NoCharging
7667,5684,0,5,5684,5684,20:54+0,5,20:59+0,03:00+1,Home,Car,Missing,PrivateCharging
7667,5684,1,0,5684,5684,03:00+0,0,03:00+0,12:23+0,Home,Missing,Missing,NoCharging
7667,5684,1,1,5684,5652,12:23+0,9,12:32+0,12:52+0,Groceries,Car,Missing,NoCharging
7667,5684,1,2,5652,5684,12:52+0,9,13:01+0,03:00+1,Home,Car,Missing,NoCharging
7670,5684,0,0,5684,5684,03:00+0,0,03:00+0,09:02+0,Home,Missing,Missing,PrivateCharging
7670,5684,0,1,5684,5684,09:02+0,15,09:17+0,11:38+0,Work,Walking or Biking,Missing,NoCharging
7670,5684,0,2,5684,5684,11:44+0,23,12:07+0,14:17+0,Home,Walking or Biking,Missing,NoCharging
7670,5684,0,3,5684,5684,14:17+0,7,14:24+0,16:45+0,Work,Car,Missing,PublicCharging
7670,5684,0,4,5684,5684,16:45+0,7,16:52+0,03:00+1,Home,Car,Missing,NoCharging
7670,5684,1,0,5684,5684,03:00+0,0,03:00+0,09:04+0,Home,Missing,Missing,NoCharging
7670,5684,1,1,5684,5684,09:04+0,5,09:09+0,10:17+0,Work,Car,Missing,PublicCharging
7670,5684,1,2,5684,5684,10:17+0,9,10:26+0,11:57+0,Home,Car,Missing,PrivateCharging
7670,5684,1,3,5684,5684,12:12+0,13,12:25+0,15:42+0,Work,Walking or Biking,Missing,NoCharging
7670,5684,1,4,5684,5684,15:42+0,22,16:04+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7671,5684,0,0,5684,5684,03:00+0,0,03:00+0,15:34+0,Home,Missing,Missing,NoCharging
7671,5684,0,1,5684,1744,15:34+0,115,17:29+0,21:29+0,Social,Car,Missing,SemiPublicCharging
7671,5684,0,2,1744,5684,21:29+0,115,23:24+0,03:00+1,Home,Car,Missing,NoCharging
7671,5684,1,0,5684,5684,03:00+0,0,03:00+0,13:06+0,Home,Missing,Missing,PrivateCharging
7671,5684,1,1,5684,5682,13:06+0,4,13:10+0,13:36+0,Groceries,Car,Missing,NoCharging
7671,5684,1,2,5682,5684,13:36+0,4,13:40+0,15:21+0,Home,Car,Missing,PrivateCharging
7671,5684,1,3,5684,5682,15:21+0,4,15:25+0,16:37+0,Groceries,Car,Missing,PublicCharging
7671,5684,1,4,5682,5684,16:37+0,4,16:41+0,03:00+1,Home,Car,Missing,NoCharging
7674,5684,0,0,5684,5684,03:00+0,0,03:00+0,08:22+0,Home,Missing,Missing,NoCharging
7674,5684,0,1,5684,5684,08:22+0,17,08:39+0,10:17+0,Work,Walking or Biking,Missing,NoCharging
7674,5684,0,2,5684,5684,10:30+0,9,10:39+0,10:57+0,Home,Walking or Biking,Missing,NoCharging
7674,5684,0,3,5684,5684,10:57+0,23,11:20+0,17:33+0,Work,Walking or Biking,Missing,NoCharging
7674,5684,0,4,5684,5684,17:33+0,23,17:56+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7674,5684,1,0,5684,5684,03:00+0,0,03:00+0,08:50+0,Home,Missing,Missing,SemiPublicCharging
7674,5684,1,1,5684,5684,08:50+0,5,08:55+0,12:03+0,Work,Car,Missing,NoCharging
7674,5684,1,2,5684,5683,12:32+0,1,12:33+0,14:39+0,Social,Car,Missing,NoCharging
7674,5684,1,3,5683,5684,14:39+0,1,14:40+0,03:00+1,Home,Car,Missing,NoCharging
7668,5684,0,0,5684,5684,03:00+0,0,03:00+0,12:44+0,Home,Missing,Missing,PrivateCharging
7668,5684,0,1,5684,5611,12:44+0,15,12:59+0,13:14+0,Social,Car,Missing,PublicCharging
7668,5684,0,2,5611,5684,13:26+0,15,13:41+0,13:46+0,Leisure,Car,Missing,SemiPublicCharging
7668,5684,0,3,5684,5684,13:55+0,5,14:00+0,15:02+0,Social,Car,Missing,PublicCharging
7668,5684,0,4,5684,5642,15:44+0,16,16:00+0,17:00+0,Groceries,Car,Missing,NoCharging
7668,5684,0,5,5642,5684,17:00+0,16,17:16+0,03:00+1,Home,Car,Missing,NoCharging
7668,5684,1,0,5684,5684,03:00+0,0,03:00+0,07:46+0,Home,Missing,Missing,NoCharging
7668,5684,1,1,5684,5684,07:46+0,6,07:52+0,10:40+0,Work,Walking or Biking,Missing,NoCharging
7668,5684,1,2,5684,5684,10:40+0,12,10:52+0,13:02+0,Home,Walking or Biking,Missing,NoCharging
7668,5684,1,3,5684,5684,13:02+0,28,13:30+0,13:43+0,Business,Walking or Biking,Missing,NoCharging
7668,5684,1,4,5684,5684,13:44+0,27,14:11+0,15:49+0,Home,Walking or Biking,Missing,NoCharging
7668,5684,1,5,5684,5683,15:50+0,3,15:53+0,16:52+0,Leisure,Walking or Biking,Missing,NoCharging
7668,5684,1,6,5683,5684,16:52+0,3,16:55+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7677,5684,0,0,5684,5684,03:00+0,0,03:00+0,07:29+0,Home,Missing,Missing,NoCharging
7677,5684,0,1,5684,5705,07:29+0,28,07:57+0,17:14+0,Work,Car,Missing,FastCharging
7677,5684,0,2,5705,5684,17:14+0,28,17:42+0,03:00+1,Home,Car,Missing,PrivateCharging
7677,5684,1,0,5684,5684,03:00+0,0,03:00+0,08:26+0,Home,Missing,Missing,NoCharging
7677,5684,1,1,5684,5066,08:26+0,15,08:41+0,11:28+0,Work,Car,Missing,SemiPublicCharging
7677,5684,1,2,5066,5066,12:10+0,8,12:18+0,14:53+0,Work,Car,Missing,PublicCharging
7677,5684,1,3,5066,5682,14:53+0,16,15:09+0,15:14+0,Other,Car,Missing,PublicCharging
7677,5684,1,4,5682,5684,15:14+0,4,15:18+0,03:00+1,Home,Car,Missing,PrivateCharging
7678,5683,0,0,5683,5683,03:00+0,0,03:00+0,08:16+0,Home,Missing,Missing,PrivateCharging
7678,5683,0,1,5683,5683,08:16+0,18,08:34+0,18:30+0,Work,Walking or Biking,Missing,NoCharging
7678,5683,0,2,5683,5683,18:30+0,5,18:35+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7678,5683,1,0,5683,5683,03:00+0,0,03:00+0,08:51+0,Home,Missing,Missing,PrivateCharging
7678,5683,1,1,5683,6029,08:51+0,25,09:16+0,10:04+0,Business,Car,Missing,PublicCharging
7678,5683,1,2,6029,5683,10:04+0,25,10:29+0,11:16+0,Social,Car,Missing,PublicCharging
7678,5683,1,3,5683,5683,11:16+0,5,11:21+0,14:00+0,Home,Car,Missing,NoCharging
7678,5683,1,4,5683,5683,14:00+0,9,14:09+0,14:15+0,BringGet,Walking or Biking,Missing,NoCharging
7678,5683,1,5,5683,5683,14:15+0,20,14:35+0,03:00+1,Home,Walking or Biking,Missing,NoCharging
7904,5684,0,0,5684,5684,03:00+0,0,03:00+0,03:00+1,Home,Missing,Missing,PrivateCharging
7904,5684,1,0,5684,5684,03:00+0,0,03:00+0,08:23+0,Home,Missing,Missing,PrivateCharging
7904,5684,1,1,5684,5611,08:23+0,23,08:46+0,17:52+0,Work,Public Transport,Missing,NoCharging
7904,5684,1,2,5611,5684,17:52+0,23,18:15+0,03:00+1,Home,Public Transport,Missing,NoCharging
7907,5683,0,0,5683,5683,03:00+0,0,03:00+0,03:00+1,Home,Missing,Missing,PrivateCharging
7907,5683,1,0,5683,5683,03:00+0,0,03:00+0,15:49+0,Home,Missing,Missing,NoCharging
7907,5683,1,1,5683,3527,15:49+0,82,17:11+0,17:57+0,Services,Public Transport,Missing,NoCharging
7907,5683,1,2,3527,5683,17:57+0,82,19:19+0,03:00+1,Home,Public Transport,Missing,NoCharging
7909,5683,0,0,5683,5683,03:00+0,0,03:00+0,16:00+0,Home,Missing,Missing,NoCharging
7909,5683,0,1,5683,3723,16:00+0,57,16:57+0,02:03+1,Touring,Car,Missing,NoCharging
7909,5683,0,2,3723,5683,02:03+1,57,03:00+1,03:00+1,Home,Car,Missing,PrivateCharging
7909,5683,1,0,5683,5683,03:00+0,0,03:00+0,07:20+0,Home,Missing,Missing,PrivateCharging
7909,5683,1,1,5683,3527,07:20+0,50,08:10+0,13:13+0,Work,Car as Passenger,Missing,PublicCharging
7909,5683,1,2,3527,3527,13:52+0,8,14:00+0,14:17+0,Groceries,Car as Passenger,Missing,NoCharging
7909,5683,1,3,3527,5683,14:17+0,50,15:07+0,03:00+1,Home,Car as Passenger,Missing,NoCharging
7957,5683,0,0,5683,5683,03:00+0,0,03:00+0,03:00+1,Home,Missing,Missing,PrivateCharging
7957,5683,1,0,5683,5683,03:00+0,0,03:00+0,16:23+0,Home,Missing,Missing,PrivateCharging
7957,5683,1,1,5683,5682,16:23+0,3,16:26+0,19:15+0,Leisure,Car,Missing,SemiPublicCharging
7957,5683,1,2,5682,5683,19:15+0,3,19:18+0,03:00+1,Home,Car,Missing,PrivateCharging
7954,5683,0,0,5683,5683,03:00+0,0,03:00+0,17:19+0,Home,Missing,Missing,PrivateCharging
7954,5683,0,1,5683,5682,17:19+0,3,17:22+0,18:08+0,Groceries,Car,Missing,PublicCharging
